FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
7 de mayo de 2024,,GERSSON L2,Pago de Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 172.0,,,,
16 de mayo de 2024,,AGENCIA X,Renovaciones Cámara de Comercio,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,,,,-$ 74.0,
19 de mayo de 2024,,AGENCIA X,Pago de Capcut,Suscripciones,Capcut,,,,,,-$ 2.6,,,,
20 de mayo de 2024,,AGENCIA X,Gasto no identificado,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,-$ 8.8,,,,
21 de mayo de 2024,,GERSSON L2,Retiro de Hotmart,Retiros,Hotmart,,,,,"-$ 32,082.0 "," $ 32,082.0 ",,,,
25 de mayo de 2024,,GERSSON L2,Pago de Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 15.6,,,,
28 de mayo de 2024,,AGENCIA X,Pago de Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 21.3,,,,
31 de mayo de 2024,,AGENCIA X,Pago de dominio Automscc,Servicios de Hosting,Namecheap,,,,,,-$ 17.3,,,,
1 de junio de 2024,,GERSSON L2,Pago de ManyChat,Suscripciones,ManyChat,,,,,,-$ 40.0,,,,
4 de junio de 2024,,GERSSON L2,Pago de Stape,Suscripciones,Stape,,,,,,-$ 50.0,,,,
5 de junio de 2024,,GERSSON L2,Pago a Steven Collaguazo,Servicios Profesionales,Steven Collaguazo,,,,,,,,,-$ 19.0,
9 de junio de 2024,,AGENCIA X,Pago de Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 11.6,,,,
11 de junio de 2024,,FONDO LIBRE,Corte de utilidades,Distribución de Utilidades,Corte general," $ 20,037.0 ",,,,,,,,,
11 de junio de 2024,,GERSSON L2,Corte de utilidades,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,"-$ 20,037.0 ",,,,,,,,,
11 de junio de 2024,,GERSSON L2,Pago a Daniel Copy,Servicios Profesionales,Pago Video Maker,,,"-$ 3,000.0 ",,,,,,,
11 de junio de 2024,,GERSSON L2,Comisiones recibidas,Comisiones,Comisiones,,,,,,,,,$ 827.0,
11 de junio de 2024,,GERSSON L2,Comisión por proyecto,Comisiones,Comisiones,,,,,,,,,-$ 800.0,
11 de junio de 2024,,GERSSON L2,Pago a Daniel Canizo,Servicios Profesionales,Pago Video Maker,,,"-$ 1,378.0 ",,,,,,,
15 de junio de 2024,,AGENCIA X,Gasto no identificado,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,-$ 12.0,,,,
16 de junio de 2024,,GERSSON L3,Suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 25.0,,,,
16 de junio de 2024,,GERSSON L3,Suscripción Flodesk,Suscripciones,Flodesk,,,,,,-$ 38.0,,,,
18 de junio de 2024,,GERSSON L2,Retiro de Hotmart,Retiros,Hotmart,,,,,"-$ 8,332.0 "," $ 8,332.0 ",,,,
18 de junio de 2024,,CURVES,Curso Praxis,Educación,Cursos,,,,,,-$ 251.0,,,,
19 de junio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 39.0,,,,
20 de junio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 19.3,,,,
22 de junio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 12.6,,,,
23 de junio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 31.2,,,,
24 de junio de 2024,,FONDO LIBRE,Reparto utilidades Juan Carlos,Distribución de Utilidades,Corte general,,,,,,"-$ 6,898.0 ",,,,
25 de junio de 2024,,GERSSON L3,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 15.0,,,,
